"Date","Price","Open","High","Low","Vol.","Change %"
"27-08-2020","11,559.25","11,609.30","11,617.35","11,540.60","719.78M","0.08%"
"26-08-2020","11,549.60","11,512.85","11,561.75","11,461.85","743.44M","0.67%"
"25-08-2020","11,472.25","11,513.10","11,525.90","11,423.35","638.15M","0.05%"
"24-08-2020","11,466.45","11,412.00","11,497.25","11,410.65","532.90M","0.83%"
"21-08-2020","11,371.60","11,409.65","11,418.50","11,362.20","668.72M","0.53%"
"20-08-2020","11,312.20","11,317.45","11,361.45","11,289.80","791.59M","-0.84%"
"19-08-2020","11,408.40","11,452.15","11,460.35","11,394.10","626.22M","0.20%"
"18-08-2020","11,385.35","11,259.80","11,401.70","11,253.15","579.24M","1.23%"
"17-08-2020","11,247.10","11,248.90","11,267.10","11,144.50","633.96M","0.61%"
"14-08-2020","11,178.40","11,353.30","11,366.25","11,111.45","645.11M","-1.08%"
"13-08-2020","11,300.45","11,334.85","11,359.30","11,269.95","562.36M","-0.07%"
"12-08-2020","11,308.40","11,289.00","11,322.00","11,242.65","609.86M","-0.12%"
"11-08-2020","11,322.50","11,322.25","11,373.60","11,299.15","586.08M","0.46%"
"10-08-2020","11,270.15","11,270.25","11,337.30","11,238.00","492.00M","0.50%"
"07-08-2020","11,214.05","11,186.65","11,231.90","11,142.05","452.63M","0.12%"
"06-08-2020","11,200.15","11,185.70","11,256.80","11,127.30","600.37M","0.89%"
"05-08-2020","11,101.65","11,155.75","11,225.65","11,064.05","667.64M","0.06%"
"04-08-2020","11,095.25","10,946.65","11,112.25","10,908.10","625.74M","1.87%"
"03-08-2020","10,891.60","11,057.55","11,058.05","10,882.25","680.93M","-1.64%"
"31-07-2020","11,073.45","11,139.50","11,150.40","11,026.65","642.56M","-0.26%"
"30-07-2020","11,102.15","11,254.30","11,299.95","11,084.95","677.76M","-0.90%"
"29-07-2020","11,202.85","11,276.90","11,341.40","11,149.75","600.73M","-0.86%"
"28-07-2020","11,300.55","11,154.10","11,317.75","11,151.40","683.89M","1.52%"
"27-07-2020","11,131.80","11,225.00","11,225.00","11,087.85","588.15M","-0.56%"
"24-07-2020","11,194.15","11,149.95","11,225.40","11,090.30","678.93M","-0.19%"
"23-07-2020","11,215.45","11,135.00","11,239.80","11,103.15","621.57M","0.74%"
"22-07-2020","11,132.60","11,231.20","11,238.10","11,056.55","765.07M","-0.27%"
"21-07-2020","11,162.25","11,126.10","11,179.55","11,113.25","772.00M","1.27%"
"20-07-2020","11,022.20","10,999.45","11,037.90","10,953.00","554.31M","1.11%"
"17-07-2020","10,901.70","10,752.00","10,933.45","10,749.65","676.88M","1.51%"
"16-07-2020","10,739.95","10,706.20","10,755.30","10,595.20","694.40M","1.15%"
"15-07-2020","10,618.20","10,701.00","10,827.45","10,577.75","715.90M","0.10%"
"14-07-2020","10,607.35","10,750.85","10,755.65","10,562.90","532.37M","-1.81%"
"13-07-2020","10,802.70","10,851.85","10,894.05","10,756.05","554.05M","0.32%"
"10-07-2020","10,768.05","10,764.10","10,819.40","10,713.00","590.71M","-0.42%"
"09-07-2020","10,813.45","10,755.55","10,836.85","10,733.00","618.65M","1.01%"
"08-07-2020","10,705.75","10,818.65","10,847.85","10,676.55","767.94M","-0.87%"
"07-07-2020","10,799.65","10,802.85","10,813.80","10,689.70","636.76M","0.33%"
"06-07-2020","10,763.65","10,723.85","10,811.40","10,695.10","571.21M","1.47%"
"03-07-2020","10,607.35","10,614.95","10,631.30","10,562.65","525.19M","0.53%"
"02-07-2020","10,551.70","10,493.05","10,598.20","10,485.55","597.42M","1.17%"
"01-07-2020","10,430.05","10,323.80","10,447.05","10,299.60","573.55M","1.24%"
"30-06-2020","10,302.10","10,382.60","10,401.05","10,267.35","556.24M","-0.10%"
"29-06-2020","10,312.40","10,311.95","10,337.95","10,223.60","574.54M","-0.68%"
"26-06-2020","10,383.00","10,378.90","10,409.85","10,311.25","671.91M","0.91%"
"25-06-2020","10,288.90","10,235.55","10,361.80","10,194.50","994.19M","-0.16%"
"24-06-2020","10,305.30","10,529.25","10,553.15","10,281.95","854.80M","-1.58%"
"23-06-2020","10,471.00","10,347.95","10,484.70","10,301.75","669.20M","1.55%"
"22-06-2020","10,311.20","10,318.75","10,393.65","10,277.60","685.39M","0.65%"
"19-06-2020","10,244.40","10,119.00","10,272.40","10,072.65","892.10M","1.51%"
"18-06-2020","10,091.65","9,863.25","10,111.20","9,845.05","622.90M","2.13%"
"17-06-2020","9,881.15","9,876.70","10,003.60","9,833.80","685.42M","-0.33%"
"16-06-2020","9,914.00","10,014.80","10,046.15","9,728.50","899.89M","1.02%"
"15-06-2020","9,813.70","9,919.35","9,943.35","9,726.35","716.05M","-1.60%"
"12-06-2020","9,972.90","9,544.95","9,996.05","9,544.35","796.31M","0.72%"
"11-06-2020","9,902.00","10,094.10","10,112.05","9,885.05","715.45M","-2.12%"
"10-06-2020","10,116.15","10,072.60","10,148.75","10,036.85","632.38M","0.69%"
"09-06-2020","10,046.65","10,181.15","10,291.15","10,021.45","754.22M","-1.19%"
"08-06-2020","10,167.45","10,326.75","10,328.50","10,120.25","936.49M","0.25%"
"05-06-2020","10,142.15","10,093.80","10,177.80","10,040.75","987.12M","1.13%"
"04-06-2020","10,029.10","10,054.25","10,123.85","9,944.25","775.11M","-0.32%"
"03-06-2020","10,061.55","10,108.30","10,176.20","10,035.55","794.66M","0.83%"
"02-06-2020","9,979.10","9,880.85","9,995.60","9,824.05","770.19M","1.56%"
"01-06-2020","9,826.15","9,726.85","9,931.60","9,706.95","794.18M","2.57%"
"29-05-2020","9,580.30","9,422.20","9,598.85","9,376.90","967.00M","0.95%"
"28-05-2020","9,490.10","9,364.95","9,511.25","9,336.50","837.91M","1.88%"
"27-05-2020","9,314.95","9,082.20","9,334.00","9,004.25","763.49M","3.17%"
"26-05-2020","9,029.05","9,099.75","9,161.65","8,996.65","654.96M","-0.11%"
"22-05-2020","9,039.25","9,067.90","9,149.60","8,968.55","675.76M","-0.74%"
"21-05-2020","9,106.25","9,079.45","9,178.55","9,056.10","631.54M","0.44%"
"20-05-2020","9,066.55","8,889.15","9,093.80","8,875.35","622.31M","2.11%"
"19-05-2020","8,879.10","8,961.70","9,030.35","8,855.30","762.15M","0.63%"
"18-05-2020","8,823.25","9,158.30","9,158.30","8,806.75","772.98M","-3.43%"
"15-05-2020","9,136.85","9,182.40","9,182.40","9,050.00","575.86M","-0.06%"
"14-05-2020","9,142.75","9,213.95","9,281.10","9,119.75","602.56M","-2.57%"
"13-05-2020","9,383.55","9,584.20","9,584.50","9,351.10","846.40M","2.03%"
"12-05-2020","9,196.55","9,168.85","9,240.85","9,043.95","805.46M","-0.46%"
"11-05-2020","9,239.20","9,348.15","9,439.90","9,219.95","704.65M","-0.13%"
"08-05-2020","9,251.50","9,376.95","9,382.65","9,238.20","609.05M","0.57%"
"07-05-2020","9,199.05","9,234.05","9,277.85","9,175.90","708.74M","-0.78%"
"06-05-2020","9,270.90","9,226.80","9,346.90","9,116.50","722.19M","0.71%"
"05-05-2020","9,205.60","9,429.40","9,450.90","9,190.75","725.20M","-0.95%"
"04-05-2020","9,293.50","9,533.50","9,533.50","9,266.95","687.49M","-5.74%"
"30-04-2020","9,859.90","9,753.50","9,889.05","9,731.50","931.17M","3.21%"
"29-04-2020","9,553.35","9,408.60","9,599.85","9,392.35","653.03M","1.84%"
"28-04-2020","9,380.90","9,389.80","9,404.40","9,260.00","614.55M","1.06%"
"27-04-2020","9,282.30","9,259.70","9,377.10","9,250.35","512.79M","1.40%"
"24-04-2020","9,154.40","9,163.90","9,296.90","9,141.30","659.44M","-1.71%"
"23-04-2020","9,313.90","9,232.35","9,343.60","9,170.15","666.65M","1.38%"
"22-04-2020","9,187.30","9,026.75","9,209.75","8,946.25","734.38M","2.29%"
"21-04-2020","8,981.45","9,016.95","9,044.40","8,909.40","655.12M","-3.03%"
"20-04-2020","9,261.85","9,390.20","9,390.85","9,230.80","726.36M","-0.05%"
"17-04-2020","9,266.75","9,323.45","9,324.00","9,091.35","684.20M","3.05%"
"16-04-2020","8,992.80","8,851.25","9,053.75","8,821.90","719.44M","0.76%"
"15-04-2020","8,925.30","9,196.40","9,261.20","8,874.10","879.15M","-0.76%"
"13-04-2020","8,993.85","9,103.95","9,112.05","8,912.40","643.97M","-1.30%"
"09-04-2020","9,111.90","8,973.05","9,128.35","8,904.55","742.14M","4.15%"
"08-04-2020","8,748.75","8,688.90","9,131.70","8,653.90","896.52M","-0.49%"
"07-04-2020","8,792.20","8,446.30","8,819.40","8,360.95","814.18M","8.76%"
"03-04-2020","8,083.80","8,356.55","8,356.55","8,055.80","697.03M","-2.06%"
"01-04-2020","8,253.80","8,584.10","8,588.10","8,198.35","506.34M","-4.00%"
"31-03-2020","8,597.75","8,529.35","8,678.30","8,358.00","712.66M","3.82%"
"30-03-2020","8,281.10","8,385.95","8,576.00","8,244.00","593.25M","-4.38%"
"27-03-2020","8,660.25","8,949.10","9,038.90","8,522.90","801.45M","0.22%"
"26-03-2020","8,641.45","8,451.00","8,749.05","8,304.90","865.59M","3.89%"
"25-03-2020","8,317.85","7,735.15","8,376.75","7,714.75","736.87M","6.62%"
"24-03-2020","7,801.05","7,848.30","8,036.95","7,511.10","738.43M","2.51%"
"23-03-2020","7,610.25","7,945.70","8,159.25","7,583.60","653.54M","-12.98%"
