ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
,,,,,,,,rating,varchar(50),RATING
,,,,,,,,ratingby,varchar(50),RATING BY
,,,,,,,,type,varchar(50),TYPE
,,,,,,,,note,varchar(50),NOTE
,,,,,,,,stoblig,varchar(50),STOBLIG
,,,,,,,,stattype,varchar(50),STAT TYPE
20, Employee Count,http://jwttoken.cmots.com/Aidea/api/EmployeeCount/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,yrc,int,YRC
,,,,,,,,totalempoyee_male,float,Total Empoyee Male
,,,,,,,,totalempoyee_female,float,Total Empoyee Female
,,,,,,,,totalempoyee,float,Total Empoyee
,,,,,,,,totalemployee_contractbasis,float,Total Employee Contract basis
,,,,,,,,permenantwomenemployee,float,Permenant Women Employee
,,,,,,,,permenantdisabledemployee,float,Permenant Disabled Employee
21,Corporate Governance,http://jwttoken.cmots.com/Aidea/api/CorporateGovernance/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company Code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS company code 
,,,,,,,,date,datetime,Date
,,,,,,,,corpgov_report,ntext,Corp Gov Report
22,Capital structure,http://jwttoken.cmots.com/Aidea/api/capital-structure/1375,EOD,11:30 PM,Once on trading day,co_code,CMOTS Company Code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,co_code
,,,,,,,,YRC,int,YRC
,,,,,,,,EquityAuthorised,int,EquityAuthorised
,,,,,,,,EquityIssued,float,EquityIssued
,,,,,,,,EquitySubs,float,EquitySubs
,,,,,,,,FaceValue,int,FaceValue
,,,,,,,,EquitySharesPaidUp,int,EquitySharesPaidUp
,,,,,,,,EquityPaidUp,float,EquityPaidUp
23,Pledged Shares,http://jwttoken.cmots.com/Aidea/api/Pledgesharesdetails/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company Code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS Company Code 
,,,,,,,,date,datetime,date
,,,,,,,,type,varchar(50),Type
,,,,,,,,name,varchar(50),name
,,,,,,,,totalpledgeshares,float,Total Pledge Shares
,,,,,,,,perc_totalsharesheld,float,TotalShares Held(%)
24,CRAR,http://jwttoken.cmots.com/Aidea/api/CRAR/4987,EOD,11:30 PM,Once on trading day,co_code,CMOTS Company Code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS Company Code 
,,,,,,top,top,yrc,int,Year
,,,,,,,,grossnonperformingassets,float,Gross Non Performing Assets
,,,,,,,,netnonperformingassets,float,Net Non Performing Assets
,,,,,,,,capitaladequacyratio_baseliii,float,Capital Adequacy Ratio BaselIII
,,,,,,,,tiericapital,float,TierI Capital
,,,,,,,,tieriicapital,float,TierII Capital
27,Insider Trading,http://jwttoken.cmots.com/Aidea/api/InsiderTrading/476,EOD,11:30 PM,Once on trading day,co_code,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,companyname,Varchar(100),Company Name
,,,,,,,,personname,Varchar(100),PERSON NAME
,,,,,,,,category,Varchar(100),CATEGORY
,,,,,,,,typeofsecuritiesheldprior,Varchar(100),Type of Securities held Prior
,,,,,,,,numberofsecuritiesheldprior,Int,Number of Securities held Prior
,,,,,,,,percentage_securitiesheldprior,Float,Percentage Securitie sheld Prior
,,,,,,,,valueofsecurities,Int,Value of Securities
,,,,,,,,totalsecurities,Int,Total Securities
,,,,,,,,transactiontype,Varchar(100),Transaction Type
,,,,,,,,typeofsecuritiesheldpost,varchar(50),Type of Securities held Post
,,,,,,,,numberofsecuritiesheldpost,Int,Number of Securities held Post
,,,,,,,,percentage_securitiesheldpost,Float,Securities held Post(%)
,,,,,,,,fromdateofacquisition,Datetime,FromDate of Acquisition
,,,,,,,,todateofacquisition,Datetime,ToDate of Acquisition
,,,,,,,,modeofacquisition,Varchar(100),Mode of Acquisition
,,,,,,,,ExchangeReportedDate,Datetime,ExchangeReportedDate
28,SAST,http://jwttoken.cmots.com/Aidea/api/SubstantialAcquisition/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company Code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,SecurityName,varchar(100),Security Name
,,,,,,,,NameofAcquirer_Seller,varchar(100),Name of Acquirer Seller
,,,,,,,,Promoter_PromoterGroup,varchar(100),Promoter Promoter Group
,,,,,,,,TransactionPeriod,Datetime,Transaction Period
,,,,,,,,Acq_Sale,varchar(100),Acquired Sale
,,,,,,,,ModeofBuy_Sale,varchar(100),Mode of Buy Sale
,,,,,,,,TransactedQuantity,Int,Transacted Quantity
